50-137;plac Uniwersytecki 1;Wroclaw;Dolnyslask;school;
50-370;wybrzeze Stanislawa Wyspianskiego 27;Wroclaw;Dolnyslask;school;
53-609;Fabryczna 31;Wroclaw;Dolnyslask;school;
50-367;wybrzeze Ludwika Pasteura 1;Wroclaw;Dolnyslask;school;
50-137;plac Uniwersytecki 1;Wroclaw;Dolnyslask;school;
50-370;wybrzeze Stanislawa Wyspianskiego 27;Wroclaw;Dolnyslask;school;
53-609;Fabryczna 31;Wroclaw;Dolnyslask;school;
50-367;wybrzeze Ludwika Pasteura 1;Wroclaw;Dolnyslask;school;
50-137;plac Uniwersytecki 1;Wroclaw;Dolnyslask;school;
50-370;wybrzeze Stanislawa Wyspianskiego 27;Wroclaw;Dolnyslask;school;
53-609;Fabryczna 31;Wroclaw;Dolnyslask;school;
50-367;wybrzeze Ludwika Pasteura 1;Wroclaw;Dolnyslask;school;school
50-137;plac Uniwersytecki 1;Wroclaw;Dolnyslask;school;
50-370;wybrzeze Stanislawa Wyspianskiego 27;Wroclaw;Dolnyslask;school;
53-609;Fabryczna 31;Wroclaw;Dolnyslask;school;
50-367;wybrzeze Ludwika Pasteura 1;Wroclaw;Dolnyslask;school;
50-137;plac Uniwersytecki 1;Wroclaw;Dolnyslask;school;
50-370;wybrzeze Stanislawa Wyspianskiego 27;Wroclaw;Dolnyslask;school;
53-609;Fabryczna 31;Wroclaw;Dolnyslask;school;
50-367;wybrzeze Ludwika Pasteura 1;Wroclaw;Dolnyslask;school;
50-367;wybrzeze Ludwika Pasteura 1;Wroclaw;Dolnyslask;school;
